Monitor_ID,Latitude,Longitude,State,Location_type,Observed_NO2_ppb,Predicted_NO2_ppb,WRF+DOMINO,800m_Impervious_%,Elevation_truncated_km,800m_MajorRoads_km,100m_MinorRoads_km,Distance_to_coast_km
22-033-0013-42602-1,30.700278,-91.055833,Louisiana,Rural,4.395966429,4.529293293,1.633873701,1.9673,0.031,0,0.18057,95.8
22-033-1001-42602-1,30.587222,-91.206944,Louisiana,Rural,8.870538344,8.55090731,6.232931614,12.24,0.019,1.59759,0,101.3
22-047-0007-42602-1,30.4,-91.425,Louisiana,Rural,5.457903574,5.557353715,3.796601295,0,0.001,1.53897,0,83.9
22-047-0009-42602-1,30.220556,-91.316111,Louisiana,Rural,5.181914021,6.373011308,4.847108841,0.0267,0.001,1.65967,0,66.1
22-047-0012-42602-1,30.206985,-91.129948,Louisiana,Rural,7.980938235,8.08502636,7.423993111,3.751,0.006,0,0,75.5
22-051-1001-42602-1,30.043333,-90.275,Louisiana,Suburban,9.704636243,9.209649078,5.492789268,19.0475,0.001,0,0.41813,1.3
22-063-0002-42602-1,30.3125,-90.8125,Louisiana,Rural,3.771160247,5.600821281,2.847547531,4.6496,0.002,1.13769,0.14093,46.5
22-121-0001-42602-1,30.500643,-91.213556,Louisiana,Suburban,13.44524237,11.66342314,9.738703728,14.6472,0.01,3.17318,0,97
23-003-1100-42602-1,46.696431,-68.033006,Maine,Suburban,2.375740898,4.929353202,-1.35758245,17.7354,0.152,0,0.19824,252.6
23-005-0027-42602-1,43.661944,-70.265833,Maine,Urban And Center City,13.43926588,10.80464651,1.930526137,41.4873,0.002,4.07347,0.77102,0.4
24-023-0002-42602-1,39.70595,-79.012,Maryland,Rural,3.921828279,7.303381468,2.47184968,0,0.304,0,0,249.3
24-510-0040-42602-1,39.298056,-76.604722,Maryland,Urban And Center City,20.81147839,21.09376905,11.25038147,95.5277,0.011,1.30323,0.67282,3.1
25-009-2006-42602-1,42.474671,-70.971358,Massachusetts,Urban And Center City,9.723406833,12.72984619,7.632720947,42.9095,0.029,1.96889,0.07806,2.5
25-009-5005-42602-1,42.77077,-71.102259,Massachusetts,Suburban,8.572193815,8.301548716,4.146037579,25.7913,0.054,0.38116,0,32.2
25-013-0008-42602-1,42.19438,-72.555112,Massachusetts,Suburban,9.487219677,10.38636547,4.432513714,37.2858,0.062,0,0.36795,129.6
25-013-0016-42602-1,42.108581,-72.590614,Massachusetts,Urban And Center City,14.95259701,14.89277221,4.939744949,61.0308,0.037,11.25714,0,118.7
25-015-4002-42602-1,42.298279,-72.333904,Massachusetts,Rural,4.040860474,7.179464402,2.81313014,0,0.258,0,0,128
25-025-0002-42602-1,42.348873,-71.097163,Massachusetts,Urban And Center City,22.52909091,21.41443657,9.66750145,81.8722,0.003,15.4021,0.11695,6.5
25-025-0042-42602-1,42.3294,-71.0825,Massachusetts,Urban And Center City,18.65402672,19.5803008,9.846209526,63.9301,0.011,12.31555,0.26294,3.8
25-027-0023-42602-1,42.263877,-71.794186,Massachusetts,Urban And Center City,15.16337544,17.04931305,4.066405296,70.6006,0.149,12.66449,0.09127,81.8
